date,y,y_pred
2018-10-05,14923223.0,12184472.87666745
2018-10-06,15829678.0,13575430.750480123
2018-10-07,15768628.0,13869229.188142164
2018-10-08,17480871.0,15520232.003941251
2018-10-09,16027262.0,14763869.5295343
2018-10-10,14847638.0,14479329.025305867
2018-10-11,14300421.0,14037804.061473874
2018-10-12,13070703.0,13049347.30938186
2018-10-13,14220600.0,14499701.337706253
2018-10-14,13392042.0,14794054.810535986
2018-10-15,16977404.0,16489195.395011028
2018-10-16,16440774.0,15665581.09212257
2018-10-17,16126771.0,15322712.011695271
2018-10-18,14154813.0,14807273.089878943
2018-10-19,12909707.0,13715343.17024942
2018-10-20,14751680.0,15154748.482808957
2018-10-21,14386080.0,15387632.26341945
2018-10-22,16893312.0,17075181.88690799
2018-10-23,15874378.0,16144487.442947745
2018-10-24,16273194.0,15716546.307796739
2018-10-25,15197348.0,15114265.051752834
2018-10-26,13425736.0,13920006.042345563
2018-10-27,14845856.0,15363460.673641779
2018-10-28,14836773.0,15563045.2544674
2018-10-29,17699508.0,17283230.430840872
2018-10-30,13343210.0,16296229.237704005
2018-10-31,15836589.0,15842689.3647601
2018-11-01,14840488.0,15219619.918005034
2018-11-02,13235426.0,13993349.738638826
2018-11-03,15157678.0,15513000.60548875
2018-11-04,14469320.0,15750792.960988378
2018-11-05,17004324.0,17572061.76073568
2018-11-06,15451302.0,16591855.924826264
2018-11-07,14196267.0,16168395.309633328
2018-11-08,13573508.0,15570991.896982346
2018-11-09,13713764.0,14348479.690584347
2018-11-10,15255221.0,15968336.09377805
2018-11-11,16180597.0,16255932.4563935
2018-11-12,17585480.0,18070543.23528118
2018-11-13,16984854.0,16989573.023495235
2018-11-14,15051829.0,16479393.97198257
2018-11-15,15778933.0,15790336.108713152
2018-11-16,14289215.0,14471773.387949679
2018-11-17,16080500.0,15998872.528187055
2018-11-18,15402278.0,16175720.540065976
2018-11-19,18388082.0,17954943.44546926
2018-11-20,16646677.0,16851514.164720535
2018-11-21,15808642.0,16309271.408769434
2018-11-22,15261221.0,15585293.467762034
2018-11-23,14039012.0,14233813.410049642
2018-11-24,15748725.0,15707763.345993802
2018-11-25,13253689.0,15842148.760722294
2018-11-26,17265643.0,17570962.417093065
2018-11-27,16412835.0,16442065.839958498
2018-11-28,17079874.0,15876991.642761633
2018-11-29,15419487.0,15139367.49268416
2018-11-30,13473789.0,13787669.507338824
2018-12-01,16269313.0,15251584.864375375
2018-12-02,16374525.0,15395668.876989624
2018-12-03,18878261.0,17133601.76303593
2018-12-04,16955103.0,16044201.50534342
2018-12-05,17434296.0,15524575.521116313
2018-12-06,17264732.0,14842666.620987501
2018-12-07,15655476.0,13558919.928179344
2018-12-08,16572228.0,15077540.163565833
2018-12-09,16187649.0,15290506.274700372
2018-12-10,18946847.0,17089241.901198052
2018-12-11,17707080.0,16081824.13883856
2018-12-12,16884572.0,15639540.670899238
2018-12-13,15446322.0,15033603.607376674
2018-12-14,14640903.0,13825764.09652226
2018-12-15,16032729.0,15394485.642307552
2018-12-16,15938708.0,15659324.156160656
2018-12-17,18447120.0,17490006.26733542
2018-12-18,16859230.0,16524814.635303028
2018-12-19,16529561.0,16110518.34030598
2018-12-20,15559163.0,15523210.62886676
2018-12-21,14068023.0,14327816.932189904
2018-12-22,16388617.0,15879121.41424856
2018-12-23,16034921.0,16126443.201471353
2018-12-24,18000379.0,17920049.133931067
