Date,"Main Page"
2017-08-02,15623474
2017-08-03,14767419
2017-08-04,12635749
2017-08-05,13162489
2017-08-06,15730755
2017-08-07,17836874
2017-08-08,16665088
2017-08-09,17163819
2017-08-10,17049510
2017-08-11,14817686
2017-08-12,17130052
2017-08-13,15667592
2017-08-14,17334419
2017-08-15,16701570
2017-08-16,17605102
2017-08-17,16569872
2017-08-18,13577329
2017-08-19,14617060
2017-08-20,14585701
2017-08-21,18246667
2017-08-22,17242315
2017-08-23,16780650
2017-08-24,15458463
2017-08-25,13798638
2017-08-26,15917886
2017-08-27,15886130
2017-08-28,17746856
2017-08-29,17343234
2017-08-30,15096508
2017-08-31,14112875
2017-09-01,12075689
2017-09-02,14272464
2017-09-03,15617125
2017-09-04,16640533
2017-09-05,17187034
2017-09-06,16432162
2017-09-07,15123362
2017-09-08,13822285
2017-09-09,12442248
2017-09-10,15466156
2017-09-11,17940547
2017-09-12,16674266
2017-09-13,16070907
2017-09-14,15277319
2017-09-15,13932277
2017-09-16,15967798
2017-09-17,15791613
2017-09-18,18934355
2017-09-19,17319107
2017-09-20,17670586
2017-09-21,16600645
2017-09-22,14004083
2017-09-23,15625651
2017-09-24,16261101
2017-09-25,19075666
2017-09-26,17262074
2017-09-27,16905457
2017-09-28,15986895
2017-09-29,13239837
2017-09-30,11396839
2017-10-01,10785510
2017-10-02,16748098
2017-10-03,16540417
2017-10-04,16361189
2017-10-05,15259751
2017-10-06,12390620
2017-10-07,15141676
2017-10-08,15368372
2017-10-09,18389949
2017-10-10,17209956
2017-10-11,16827360
2017-10-12,17127581
2017-10-13,16054918
2017-10-14,18143612
2017-10-15,17601420
2017-10-16,19051179
2017-10-17,18076299
2017-10-18,16116126
2017-10-19,15212926
2017-10-20,14069783
2017-10-21,15536712
2017-10-22,15502123
2017-10-23,18229171
2017-10-24,17388326
2017-10-25,17130474
2017-10-26,15546022
2017-10-27,14848299
2017-10-28,16140268
2017-10-29,15952406
2017-10-30,18830440
2017-10-31,17443498
2017-11-01,18817331
2017-11-02,18126781
2017-11-03,15961482
2017-11-04,17334672
2017-11-05,17257904
2017-11-06,18981026
2017-11-07,18686110
2017-11-08,18249928
2017-11-09,15195794
2017-11-10,15669585
2017-11-11,17290357
2017-11-12,17175778
2017-11-13,20036918
2017-11-14,17594473
2017-11-15,17662230
2017-11-16,15690748
2017-11-17,14043780
2017-11-18,15741638
2017-11-19,13169310
2017-11-20,18845217
2017-11-21,18387732
2017-11-22,17527049
2017-11-23,15903177
2017-11-24,15021027
2017-11-25,15880240
2017-11-26,16288954
2017-11-27,17417027
2017-11-28,17382749
2017-11-29,17593101
2017-11-30,16107897
2017-12-01,13938093
2017-12-02,16027794
2017-12-03,16328966
2017-12-04,18969802
2017-12-05,17900886
2017-12-06,15189526
2017-12-07,16102694
2017-12-08,14647425
2017-12-09,15456888
2017-12-10,15861379
2017-12-11,18125562
2017-12-12,16690118
2017-12-13,16209541
2017-12-14,15427882
2017-12-15,14594588
2017-12-16,15555167
2017-12-17,16417440
2017-12-18,18258367
2017-12-19,17694595
2017-12-20,17108613
2017-12-21,15702194
2017-12-22,13956715
2017-12-23,16113612
2017-12-24,16066183
2017-12-25,16985700
2017-12-26,16767156
2017-12-27,16687754
2017-12-28,16365859
